"YEAR","AMA","SECTOR","CATEGORY","PARENT WATER TYPE OR SECTOR","BUDGET ELEMENT","QUANTITY"
"1985","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","367146"
"1986","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","413154"
"1987","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","383850"
"1988","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","448694"
"1989","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","450473"
"1990","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","272083"
"1991","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","418856"
"1992","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","248811"
"1993","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","291624"
"1994","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","366067"
"1995","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","340812"
"1996","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","321061"
"1997","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","240779"
"1998","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","302313"
"1999","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","244004"
"2000","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","200200"
"2001","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","229156"
"2002","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","197274"
"2003","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","113511"
"2004","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","132633"
"2005","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","219745"
"2006","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","212620"
"2007","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","174020"
"2008","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","187914"
"2009","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","174661"
"2010","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","160935"
"2011","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","198867"
"2012","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","189129"
"2013","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","194021"
"2014","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","135801"
"2015","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","126125"
"2016","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","143246"
"2017","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface water","162939"
"2018","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","89262"
"2019","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","90011"
"2020","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","114044"
"2021","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","126377"
"2022","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","127109"
"2023","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","145092"
"2024","PHOENIX AMA","Agricultural","Supply","Surface Water","Surface Water","141499"
