Year,TotalFarmland_Acres,IrrigatedLand_Acres,Notes
1930,578350,,
1935,683944,,
1940,1122211,307319,estimated from irrigated pasture + irrigated cropland harvested
1945,1041210,,
1950,2373343,461263,
1954,2710796,489261,
1959,2583790,439046,
1964,2517589,470874,
1969,1898555,458374,
1974,1538427,426846,
1978,1413279,452147,
1982,1429539,378220,
1987,1391456,275592,
1992,729947,273339,
1997,742287,310109,
2002,627254,237532,
2007,485469,199367,
2012,475898,192871,
2017,474438,180214,
2022,502029,204522,
