table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,
GeographicArea,April2020_Census,2020,2021,2022,2023,2024,2025
Arizona,"7,158,104","7,186,647","7,274,022","7,370,065","7,452,073","7,556,424","7,623,818"
".Apache County, Arizona","66,045","65,913","65,339","65,361","65,055","64,695","64,445"
".Cochise County, Arizona","125,440","125,527","126,215","125,418","124,716","125,199","126,332"
".Coconino County, Arizona","145,111","145,182","142,851","144,078","144,554","144,658","144,368"
".Gila County, Arizona","53,268","53,338","53,522","53,902","54,040","54,126","53,801"
".Graham County, Arizona","38,538","38,626","38,906","38,784","39,552","40,239","40,157"
".Greenlee County, Arizona","9,564","9,531","9,398","9,311","9,356","9,334","9,312"
".La Paz County, Arizona","16,554","16,562","16,358","16,460","16,615","16,670","16,711"
".Maricopa County, Arizona","4,425,302","4,445,025","4,500,059","4,559,561","4,601,077","4,654,147","4,689,558"
".Mohave County, Arizona","213,261","214,167","217,232","220,791","223,586","226,262","228,102"
".Navajo County, Arizona","106,712","106,748","107,679","108,671","109,197","109,563","109,946"
".Pima County, Arizona","1,043,431","1,045,245","1,049,271","1,058,224","1,065,239","1,073,456","1,074,685"
".Pinal County, Arizona","425,993","430,231","449,128","465,550","486,554","515,726","539,380"
".Santa Cruz County, Arizona","47,669","47,711","47,956","48,600","49,204","49,765","50,020"
".Yavapai County, Arizona","236,210","237,223","242,454","246,237","249,100","251,196","252,552"
".Yuma County, Arizona","205,006","205,618","207,654","209,117","214,228","221,388","224,449"
